Title,Description,Quantity Required,Unit,Quotes Left,Location,Buyer Name,Experienced Buyer,Complete Order via RFQ,Typical Replies,Interactive User,Email Status,Buyer Profile,Posted Time,Inquiry Url
Raw unprocessed single donor human hair,"looking to purchase raw unprocessed single donor human hair of good quality,60 cm in length.I want to buy 20 kg. Product specifications: Length:60 cm Quality:Good quality that i can bleach and dye ...",20,kilogram/kilograms,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:1 hours before,
LLDPE 60QT/75QT High Performance Wheeled Ice Chest Heavy Duty Rotomolded Camping Cooler for Beer Storage Fishing Custom Thermal,مرحبًا، لدي اهتمام بهذه المنتجات.product: Rotomolded outdoor ice box coolerNL-60 Size: 83*43*43CMNL-75 Size: 87.5*44.5*45CMStyle: Modern Outdo...,10,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:1 hours before,
iphone 16 pro max case,Further requirements: Customization requirements:Logo customization,1,bag/bags,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:1 hours before,
Used 2019 Volkswagen e-Golf,Steering:Left Emission Standard:Euro V Engine Capacity:>8L Month:5 Mileage:50001-75000 Miles Type:Sedan Fuel:Gas/Petrol Engine Type:Turbo Cylinders:8 Maximum Power(Ps):250-300Ps Gear Box:Automatic ...,1,unit/units,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:1 hours before,
SMOOTH Factory Wholesale Wedding Hotel Event Decor PP Plastic Acrylic Gold Chivari Chair,Golden high quality chairs Usage:Home Party Wedding Decoration Size:standard or Customized Colors:optional Feature:Reusable specific use:Hotel Chair general use:Commercial Furniture ...,200,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:2 hours before,
Custom Hoodies Men's 100%Cotton Heavy Weight Luxury Quality Puff Printing Oversized Streetwear ...,"Hello,I hope this message finds you well.I am interested in purchasing men's clothing from your company.Could you please provide me with information on the payment methods you accept?...",1000,piece/pieces,Quotes Left2,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:2 hours before,
20*4.0 outer tire KENDA K1188E Fat Tire for Bicycle 20*4.0 Snow Beach Bike Tyres 20*4.0,"Hi,I'm interested in this product. Product name:20*4.0 outer tire KENDA K1188E Brand:KENDA Weight:1.2 Kg Size:20*4.0 Model:K1188E Keyword1:20*4.0 outer tire KENDA K1188E Keyword2:Fat Tire for Bicycle ...",2,pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:2 hours before,
For Toyota Land Cruiser LC300 2022-2023 Car Door Kick Plate Cover Interior Decoration Body Kit Car ...,Design Style:Sports Position:Body Style:SPORTS Material:ABS Installation:easy installation Car Fitment:Toyota Model:LC100 LAND CRUISER Type:Decorate,10,liter/liters,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:2 hours before,
mink blankets for sale korean blankets for dubai soft fluffy yarn knit blanket,"Hi,I'm interested in this product. Product name:Raschel Blanket Style:Korea MOQ:5pcs Fabric:Soft Raschel Pattern Type:Random Sample time:3-7 Days Packing:Rolled Quality:High Grade ...",15,kilogram/kilograms,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:2 hours before,
smart scalp massager,We are looking for a supplier to provide us with a smart scalp massager. Product specifications: Material:High-quality ABS plastic Power source:Rechargeable lithium-ion battery Massage modes:4 ...,1000,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:2 hours before,
Non-Noise Cancelling TWS Earphones&Headphones,General overview We are looking to purchase high-quality TWS earphones and headphones.The primary purpose is to provide users with excellent wireless audio experiences without noise-cancelling ...,1000,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:2 hours before,
Grandsea 80ft Customized Steel Hull Restaurant Boat New Diesel Sea Ferry for Sale for Tourist Sightseeing,مرحبًا، لدي اهتمام بهذه المنتجات.product: Passenger boatModel: HD-2400Overall Length: 24mExport to: RussiaColor: Customized ColorGuarantee...,1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 hours before,
"Bicicleta eléctrica de carga frontal de 250W, bici de carga holandesa de 3 ruedas, uso familiar, nuevo estilo","Please could you advise me of delivery cost of 1 unit to Marbella, Spain.Thanks,EdColor: CustomizableBrake: Disc BrakeFrame: SteelSaddle: Leat...",1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 hours before,
Classical Hotel and Restaurant Wine&Liquor Serving Trolley Cart for Bar Dining Home Use Durable ...,I NEED 2 PCS AND KNOW ABOUT MATERIAL,2,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 hours before,
RAF Hot Selling Double Glass Pot Electric Tea Pot Electric Kettle Set With Base,Dear SirThis is just for your kind information that I am interesting in this raf product but I just want to know the minimum delivery charges i am looking for arround 30 to 50 pieces ...,40,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 hours before,
Used 2018 Land Rover Range Rover Evoque.,hello.i want to know details for this car and shipping to uae how much Steering:Left Emission Standard:Euro V Month:5 Mileage:50001-75000 Miles Make:Land Rover Model:RANGE ROVER Maximum Power(Ps):250-...,1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 hours before,
Cartoon Plush Figure Toys,"LABUBU DOLLS Purchasing Requirement Document General overview: We are looking to purchase cartoon plush figure toys for home decoration,gifting,and use as toys for kids.These toys should be cute and ...",20,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 hours before,
6060cm Self-Adhesive Marble Tiles,I am looking for 60*60cm Self-Adhesive Marble Tiles for household use.The tiles need to be sound-absorbing and feature a damask pattern.The project requires 3D model design capabilities. ...,100,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 hours before,
bucket hat custom high quality,We are looking for custom bucket hats made with high-quality materials. Color:Off-white Size:One size fits most Branding:Discreet and high-quality Design:my design that have printing and sweing ...,200,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 hours before,
In Stock 19pcs Heat Resistant Silicone Kitchen Accessories With Wood Handle and Cuttings Board ...,"Hi there!I'm considering purchasing some kitchenware from your company,and I wanted to inquire about the warranties you offer.Could you please let me know what kind of warranties are available for ...",5,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 hours before,
magnetic packaging boxes custom logo,"I am looking for a manufacturer who can provide black magnetic packaging box with custom logo,printed or embossed,or drawer Packaging box.The dimensions are 38 cm X 28 cm X 10 cm.I required this box ...",100,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 hours before,
Private Label KORMESIC Skin Active Micellar Cleansing Water Removers Makeup Cleanses Soothes,"Hi,I'm interested in this product.What is the best price you can offer?product:Private Label KORMESIC Style:Luxury use:Face Type:Makeup Remover ingredient:Mineral brand name:KORMESIC",36,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 hours before,
Vibrating Cock Ring 9 Vibrations with Heating Penis Ring Vibrator Sex Toys for Men Adult Toys ...,We're ready to proceed with an order of 3 pieces. Style:Modern Application:Home place of origin:CN;GUA model number:TY-20241028-44 brand name:Colorful medium,3,pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 hours before,
TOWO Tuya WIFI or Zigbee or Matter Smart Home Security System Wireless Battery Power Flood Sensor ...,"Hello I need To order 65 Unit from this Water Leakage Senor,Zigbee Version,and it will be ship to UAE.i need to know expected time to be ready?Customized:Yes Whether the smart:Yes ...",65,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 hours before,
video recording car camera,"Hi,I'm interested in this product. Number of cameras:2 Type:Video Recorder Car Fitment:BYD Year:2022- Model:(1st Generation)QUZHUJIAN 05(22.03-) Function:APP Control Function:Build-in GPS ...",2,pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 hours before,
"Wholesale ZTE 5G CPE MC888 Pro 5G Unlocked 5G WiFi Home Router,Fast WiFi 6,up to 3.8Gbps ZTE 5G CPE ...",can you provide teh quotation for teh 100 pieces and what is your delivery time for doha qatar?SIM card slot:1 SIM Card Slots Keywords:ZTE 5G CPE MC888 Pro Wireless Speed:2.4GHz 600Mbps+5GHz 1200Mbps ...,100,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 hours before,
Fully Automatic Siomai Making Machine Automatic Siomai Making Machine Small Dim Sum Making Machine ...,"we need to buy this machine and we need this ship to Saudi arabia,could you please let me know the total cost and about the service Usage:make steamed bun/Shaomai/dumplings/Wonton/small goldfish ...",1,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 hours before,
Power Station USA Warehouse 350W Emergency Generator Power Station With Solar Panels for Camping,"can u please advise on the shipping cost DDP to dubai Capacity:80000mAh/296wh;AC:350W rated;Wireless charing 5V2A,10W Size:200*170*170mm Weight:2.9KG Input:19V/3.42A Output:USB1+USB2/5V3.1A USB-C 5V3A...",1,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 hours before,
Customized Logo 1Hp Commercial Outdoor Ice Bath Chiller Water Chiller Cold Plunge Recovery Logo ...,Hello dear team.I would like to know what price and lead time you could offer me on this 1 HP water cooler to be shipped to the UAE(220 V version pllease).Thanks.Olivier. Application:Fitness Recovery ...,1,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 hours before,
Sesame Seed Cleaning Sorting Grinding Line,"I am looking to source a sesame seed cleaning,sorting,and grinding line for my business. Product specifications: Capacity:High processing capacity for efficient operationو Processing capacity:500-...",26,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 hours before,
Wholesale Customize Garment Metal Brand Custom Metal Clothing Labels Decorative Bag Metal Tag logo,"Hi,I'm interested in this product.Can I get a sample first?What is the MOQ for this product?Do you support customization?product:Metal label Product Type:Garment Labels Color:Any colors can be ...",100,piece/pieces,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:5 hours before,
Custom Waterproof Self Adhesive Metal Label Design 3D Vinyl Embossed Logo Metal Sticker,Hi.I want a logo turned into embossed stickers please Size:Custom Size Accepted Color:Customized Color Usage:Customized Packaging Shape:Custom Shapes Artwork format:AI PDF PSD CDR JPG ...,500,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:5 hours before,
Foshan Rustic Anti Slip Cement Tiles for Floor 60x60 Design Matt Ceramic Outdoor Tiles Bathroom ...,"Hello,I’m interested in your product and I'm looking for a good serious supplier for this product,do you support customization?I would like some more details.incase I don't reply on time,I will send ...",500,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:5 hours before,
york ac pcb board,031-30252-001 IGBT CONTROL BOARD 031-03280-001 GATE DRIVER 031-03478-101 MICROPROCESSOR BOARD 031-02060-002 SCR TRIGGER BOARD 031-02630-001 COMMUNICATION BOARD ALL YORK BRAND EACH 1NO.,1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:5 hours before,
Riyady-tennis wear and active fitness gym ware,We are launching a sports fashion brand for fitness and active ware.The brand is primarily sports centred and mainly focused on two main areas General Gym ware and Tennis apparel: ...,500,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:5 hours before,
Premium Insulated Double-Wall Stainless Steel Travel Cup 6oz-16oz Sizes Thermal Coffee Mug for Hot&...,"Can you send me sizes for 6 oz,8 oz 12 oz with led and pricesthank you Material:18/8 304 Stainless Steel Capacity:6oz/8oz/12oz/16oz Logo:Silk Screen&Laser Inside:Cleaning Electrolysis ...",1000,piece/pieces,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:5 hours before,
active rolling ball electric dog ball automatic cat ball,"Hi,I'm interested in this product.What is the best price you can offer?Do you support customization?How long will it take to ship to my country?Product Name:Smart Pet Toy Ball Suitable for:Small and ...",2,pieces,Quotes Left4,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:5 hours before,
Cheapest Market Price Coated Duplex Board Paper With Grey Board Packaging Used Gray Back Coated ...,"I m looking for duplex paper 350 gsm for making tissue boxes,one side white and other side grey Use:Gift Wrapping Paper Paper weight:240g-450g Material:wood pulp Usage:making notebook,book etc ...",28,ton/tons,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:5 hours before,
High Quality Disposable Non-Woven Flat Bed Sheet Waterproof Spa and Tattoo Table Cover Massage Table...,"Hello,Could you please give me price per Role.-Each role 50 sheets.-Each sheet 80x180cm.-40 GSM.-Light Brown Color.-Easy to tear.If we find your price good.It will be frequent order.We consume around ...",1000,kilogram/kilograms,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:6 hours before,
tecno camon 40 pro 5g original,I'm looking for tecno camon 40 pro 5g original.Also:,1,carton/cartons,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:6 hours before,
Foldable Parking Garage Car Cover Manual/Automatic Retractable Outdoor Steel Structure Folding Car Carport Garaje Portatil,مرحبًا، لدي اهتمام بهذه المنتجات. هل تدعم التخصيص؟product: Parking Garage Portable Car Garage Prices Portable Folding Garage Steel Structure Car Ga...,2,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:6 hours before,
My Block World Building Blocks 2.0 Magnetic Geometric Puzzle Toys Strong Magnets Plastic Sets for MC...,"I want to dropship this product Material:Plastic Age:10-12Y,13-14Y,4-6Y,7-9Y Flux Index:².mm² Package:Sets Dimensions:2.3*2.3*2.3cm Material:plastic Age:10-12Y Age:13-14Y Age:4-6Y ...",1,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:6 hours before,
Juicer Professional Juicer With Blender Electric Juicer Blender,"hi ineed informayion and costing for 1000 units,DDP Dubai can u put a sales agent to help me who is fast with communication shradha mohanty 971551043116 Dubai Colors:White,black,blue,red,pink/...",3000,pieces,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:6 hours before,
Car Starter Scrap/Alternators Generators Scrap,Hi there!I hope you're doing well.I'm interested in purchasing some metals and metal products from your company.Could you please provide me with some product images and videos that show a closer view ...,5,ton/tons,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:6 hours before,
سكوتر كهربائي الكبار,Further requirements:· Certification(s): REACH· Certification(s): CE,1,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:6 hours before,
Cheap electric bikes,I'm looking for Cheap electric bikes. Product specifications: Battery:48V 12Ah Lead Acid Battery Gears:6 Speed Range per Power:10-30 km Frame Material:Steel Wheel Size:16,1,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:7 hours before,
Loose cargo pants,I'm looking for Loose cargo pants.Product specifications:·Fabric Type: Satin·Feature: anti-wrinkle·Material: Other·Technics: None·Printing...,2,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:7 hours before,
Wooden Broom Handle,I'm looking for Wooden Broom Handle. Product specifications: use:Home broom head material:PET broomstick material:Wood dustpan material:plastic Name:broom handle 4ft,100000,bag/bags,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:7 hours before,
Home Use Central Air Condition Cooling/heating,I'm looking for Home Use Central Air Condition Cooling/heating.Product specifications:·Compressor type: Triple-cylinder Two-stage Rotary Compresso...,1,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:7 hours before,
Dry walnut shell,I'm looking for Dry walnut shell.Product specifications:·type: blasting media·abrasive grain sizes: 12-220#·Color: Brown yellow·Shape: Irreg...,1,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:7 hours before,
Angle Valve Main Body Part,"Angle Valve body onlySize:1/2x1/2""Materiall:SSFinish:Chrome",5000,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:7 hours before,
Multigas detector portable with suction tube,We are looking for a portable multigas detector with a suction tube. Product specifications: Detection method:Suction tube Gas types detected:Multiple gases Portability:Handheld Display type:Digital ...,3,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:7 hours before,
dust bag custom,"Hello, I am looking for a supplier to produce custom dust bags for packaging duffle bags.Please find the specifications below: 	•	Quantity:200 pieces 	•	Material Preference:Please quote for cotton,...",200,piece/pieces,Quotes Left4,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:7 hours before,
Muslim Luxury Evening Wedding Sudanese Women Toub Thobe Abaya Clothing Dress 3d Embroidery Soudanais...,"Color:Color chart accepted Usage:T-shirt,long sleeve shirt,cushion Design:Accept Orders Type:Sequin design Style:Fashionable Samples:Available Stock:In stock Thickness:lightweight ...",1,meter/meters,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:8 hours before,
ADNOC Logo Metal Buckle,"We are looking for high-quality metal buckles similar to the ones shown in the pictures. Product specifications: Material:Metal,Zinc Alloy Design:Rectangular buckle with ADNOC logo ...",100,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:8 hours before,
jc j4 shifter,I'm looking for jc j4 shifter. Also:,1,kilogram/kilograms,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:8 hours before,
High Quality Luxury Design 10ml Unique Car Perfume Long Lasting Car Perfume Freshener Best Hanging ...,"Hi,I'm interested in this product. product:Hanging car perfume diffuser Material:Eco-friendly Size:Custom Size Usage:Car Used Air Freshener Fragrance:Customer's Requirement Logo:Customer Logo ...",100,piece/pieces,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:8 hours before,
Automatic CNC 3 Roller Vertical Aluminum Profile Arc Bending Machine,"Hi,I am looking for aluminum,steel,stainless steel rolling machine For aluminum profiles,tubes,pipes Power supply:380V/50HZ Motor power(kW):13 Working pressure:0.2MPa Min.diameter of bending:200mm ...",1,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:8 hours before,
Sand for aquarium decorations,"I'm looking for Sand for aquarium decorations. Product specifications: Type:Natural brand name:NS model number:NS SAND size:20-40MESH,40-80MESH",1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:8 hours before,
Batteries 21700 18650 Cell Battery 3.7v 2600mah 3500mah 5000mah Lithium Rechargeable Battery for ...,"Hi,I'm interested in this product. Product name:3.7V 18650 Li-ion Battery Battery type:Rechargeable Li-ion Battery Voltage:3.7v~4.2v Keywords:Battery Lithium Lifepo4 Warranty:1 Year ...",10,pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:9 hours before,
Ready to Ship TV BOX/OTT/TV Stick 8GB 128GB ATV Allwinner H618 1 Year Warranty Android 4k Support 20...,"Hi,I'm interested in this product. Resolution:4k processor core:Quad Core processor:Allwinner H618 Supported Resolution:4k ethernet:1 x 10/100MBps wifi:802.11n 2.4G/5GHz keyboard:NO ...",1,pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:9 hours before,
Light Weight Payload 5kg Cobot Arm 6 Axis Robotic Manipulator Automatic Screwing Screw Robot,"Hello,Nice to meet you.can you please send me infos about the cobot with 5kgs payload?i would like to control simultaneously several units,perfectly coordinated.we can chat on **** thank you ...",1,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:9 hours before,
Used Cat 950g 950 Wheel Loader     Used Cat Wheel Loader 950 966 Front End Loader       Used Cat Wheel Loader 950 966,I'm looking for Used Cat 950F Wheel Loader     Used Cat Wheel Loader 950 Front End Loader       Used Cat Wheel Loader 950Product specifications:·...,1,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:9 hours before,
Airless paint sprayer gun,I'm looking for Airless paint sprayer gun. Product specifications: type:Airless Spray Gun Cup Capacity:1.5L grade:PROFESSIONAL power source:Battery customized support:OBM,400,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:9 hours before,
Sea Freight Shipping Agent From China to UAE Door to Door Top Chinese Forwarding Shenzhen/Guangzhou/...,HELLO I NEED TO KNOW SHIPPING COST FOR THIS ORDER INCLUDING EVEY THING Advantage:competitive price Freight forwarder:fast Shipment origin:China Shipment destination:UAE UNITED ARAB EMIR ITS ...,1,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:9 hours before,
32 43 49 55 65 Inch Gas Station LCD Outdoor Monitor Display Wall Mount Sign IP65 Advertising Display...,"I am looking for 26 x outdoor 55 inch LCD screens with high brightness,fans and casing(Stainless Steen 301 anti-corrosion)I don't need any android player in the screen but only a place to put my PCThe...",36,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:10 hours before,
Male Enlargment Pill Power Enhancement Maca Gummies Adult Energy Pills Herbal Supplement Libido ...,"Type:gummies Dosage Form:gummies Applicable People:Men,Adult Not Applicable People:Pregnant Women,Newborn,Children Dose:1~2 capsules each time Product Specification:60 capsules/bottle ...",5,box/boxes,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:10 hours before,
Scope red dot combo,I'm looking for Scope red dot combo. Product specifications: Material:Aluminium Alloy Type:Scope Mounts&Accessories size:None,2,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:10 hours before,
Flatbed Die Cutter,"I'm looking for Flatbed Die Cutter. Also: Technical Specifications Material:Art paper,cardboard,sticker,label,plastic film Effective working area:600mm X 400mm Max.cutting speed:800mm/s ...",1,unit/units,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:11 hours before,
Mens Sneakers 2025-Running Shoes for Men,We are looking to source men’s sneakers suitable for winter and running activities.These sneakers should be fashionable and comfortable for daily wear. Product specifications: Midsole Material:PVC ...,100,pair/pairs,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:11 hours before,
Summer Fashion Letter Loose Printed Round Neck Heavyweight Cotton Trendy Couple Short Sleeve Top T-shirt Men's Top,مرحبًا، لدي اهتمام بهذه المنتجات.product: He Man T ShirtLogo position: FrontFabric Type: knittedMaterial: 100% CottonLength: RegularSleeve...,2,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:12 hours before,
Custom Balcony Enclosure,"1.Project Summary I have an open balcony,and I want to fully enclose it to create a safe,weather-protected area for my cats.The total size of the balcony is as follows: 	•	Total Length:8.2 meters ...",1,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:14 hours before,
Shape Sorter Wooden Toy For Toddlers Wooden Shape Color Sorting Preschool Stacking Blocks Toddler ...,I'm looking for Shape Sorter Wooden Toy For Toddlers Wooden Shape Color Sorting Preschool Stacking Blocks Toddler Puzzles Toys Block Toy. Product specifications: Material:wood Type:Other Educational ...,50,piece/pieces,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:14 hours before,
TOP Printable PP Waterproof Self-adhesive Glossy Matte Decal Paper Sheet for Inkjet Laser Printer A4 Vinyl Label Sticker Paper,مرحبًا، لدي اهتمام بهذه المنتجات.product: Sticker Paper vinyl Sticker Paper a4 Vinyl Sticker PaperName: Matte Glossy Vinyl Inkjet StickerFace St...,1000000,piece/pieces,Quotes Left1,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:16 hours before,
